object_name,seed,params,matched_image,llm_model,text_prompt
RotaryTelephone,,,,gpt-oss:20b,"""A classic copper rotary telephone, matte finish, brass dial with engraved numerals, ornate keyhole, polished brass trim, subtle patina, surrounded by a small antique handset, hanging on a vintage wood stand."""
BrickHouse,,,,gpt-oss:20b,"""A two-story brick house, whitewashed bricks, steep red clay roof, tall front porch, wooden picket fence, window shutters, stone steps, lush green lawn, subtle shadowing, realistic architectural detailing."""
GlowingOrb,,,,gpt-oss:20b,"""A luminous, translucent blue orb, softly pulsing, hovering atop a weathered stone pedestal, carved with ancient runes, surrounded by faint mist, subtle reflections on stone, dramatic low light."""
SphericalRobot,,,,gpt-oss:20b,"""A compact spherical robot, chrome silver shell with gold accents, articulated joints, LED face panels, miniature antennae, metallic finish, dynamic pose, subtle shadow, futuristic minimalistic design."""
BronzeOwl,,,,gpt-oss:20b,"""A bronze owl sculpture, realistic feathers, piercing amber eyes, textured feathers, perched gracefully on a weathered wooden branch, subtle patina, slight wing spread, naturalistic pose, fine metalwork detailing."""
RoboticArm,,,,gpt-oss:20b,"""A sleek, modular robotic arm, matte black frame, chrome articulations, sensor arrays, dynamic joint movement, placed on a polished metal table, ambient LED lighting, high-tech minimalistic environment."""
LogCabin,,,,gpt-oss:20b,"""A rustic log cabin, rough-hewn pine logs, stone chimney with moss, wooden porch with rocking chairs, warm glowing windows, overhanging eaves, detailed bark texture, cozy campfire scene, soft sunset lighting."""
BlockyRobot,,,,gpt-oss:20b,"""A blocky, orange and teal robot, chunky cube geometry, articulated limbs with joint pistons, simple geometric face, stylized eyes, bright orange body panels, teal accents, dynamic standing pose, low-polygon aesthetic."""
VintageCamera,,,,gpt-oss:20b,"""A vintage film camera, polished brass body, dark leather case with gold stitching, leather strap, leather cover, classic lens cap, subtle scratches, warm sepia tone, realistic texture."""
ToyBlaster,,,,gpt-oss:20b,"""A futuristic red toy blaster, matte red finish, sleek barrel, transparent magazine holding stylized blue projectiles, articulated grip, glow-in-the-dark accents, dynamic firing pose, minimalistic sci-fi design."""
DogRobot,,,,gpt-oss:20b,"""A metallic dog-like robot, silver alloy chassis, articulated quadruped legs, jointed paws, LED eye sensors, aerodynamic chrome accents, sleek head with angular jaws, futuristic urban patrol aesthetic."""
TransistorRadio,,,,gpt-oss:20b,"""A portable transistor radio, matte black cover, brushed metal speaker grille, front panel with embossed brand logo, vintage dial, plastic knobs, compact size, realistic reflective surfaces."""
Bulldozer,,,,gpt-oss:20b,"""A yellow and black bulldozer, industrial scale, movable front blade, hydraulic cylinder, realistic dust plume, textured paint, matte finish, detailed cab, side doors, realistic metal panels, dynamic construction site background."""
SailingShip,,,,gpt-oss:20b,"""A wooden sailing ship, copper hull with brown patina, intricate deck details, brass railings, carved figurehead, rope rigging, canvas sails, realistic weathering, ocean waves, sunset lighting."""
CartoonRocket,,,,gpt-oss:20b,"""A stylized cartoon rocket, red dome top, black antenna, teal cylindrical body with red bands, black connectors, oversized fins, cheerful color palette, simple geometry, playful pose, bright sunlit background."""
DeliveryVan,,,,gpt-oss:20b,"""A weathered vintage delivery van, boxy steel frame, rusted faded green paint, square chrome windows, rusty roof rack, exposed door hinges, faded brand decal, realistic texture, distressed metal."""
VictorianMansion,,,,gpt-oss:20b,"""A Victorian stone mansion, ornate trim, bay windows with arched glass, wraparound porch, wrought-iron railing, textured stone bricks, decorative columns, gabled roof, moss accents, realistic historic detailing."""
Bookshelf,,,,gpt-oss:20b,"""A wooden bookshelf, rich oak planks, carved ornamental moldings, adjustable sliding shelves, exposed hinges, polished finish, realistic wood grain, sturdy base, shadowed corners."""
RockingChair,,,,gpt-oss:20b,"""A classic wooden rocking chair, polished maple frame, woven straw seat and backrest, curved armrests, smooth rocking motion, rustic charm, realistic wood texture, subtle shadowing."""
GreenMonitor,,,,gpt-oss:20b,"""A vintage green CRT monitor, amber glow, matte black bezel, thin frame, rubberized edges, subtle scorch marks, realistic phosphor screen, nostalgic industrial design."""
RotaryTelephone,,,,gemma3:12b,"""A detailed antique copper rotary telephone, rich brown patina, aged brass dial, intricate carvings, classic mid-century design, slightly worn finish."""
BrickHouse,,,,gemma3:12b,"""A charming two-story brick house, red tiled roof, white painted trim, a white picket fence, lush green lawn, sunny day, idyllic suburban setting."""
GlowingOrb,,,,gemma3:12b,"""A softly glowing, translucent orb radiating warm light, resting on an aged stone pedestal, stone texture detailed, mystical atmosphere, dark background."""
SphericalRobot,,,,gemma3:12b,"""A spherical robot with a polished gold and silver metallic design, articulated joints, futuristic lights, smooth surfaces, sleek and modern aesthetic."""
BronzeOwl,,,,gemma3:12b,"""A detailed bronze owl sculpture with a wise expression, perched on a gnarled tree branch, leaves scattered around, warm lighting, antique charm."""
RoboticArm,,,,gemma3:12b,"""A sleek, futuristic robotic arm with silver and black plating, intricate wiring details, articulated joints, resting on a clean, reflective tabletop."""
LogCabin,,,,gemma3:12b,"""A cozy rustic log cabin, stone chimney emitting smoke, a weathered wooden porch, surrounded by tall pine trees, warm inviting light, autumn leaves."""
BlockyRobot,,,,gemma3:12b,"""A blocky robot with orange and teal color scheme, articulated limbs with joints, large expressive eyes, playful design, cartoonish style, glossy surface."""
VintageCamera,,,,gemma3:12b,"""A vintage film camera, classic design, brown leather case, worn edges, textured film reel, warm lighting, nostalgic feel."""
ToyBlaster,,,,gemma3:12b,"""A futuristic red toy blaster, ergonomic grip, transparent magazine showcasing colorful pellets, chrome accents, sleek design, playful and dynamic pose."""
DogRobot,,,,gemma3:12b,"""A metallic dog-like robot, silver and black finish, articulated legs with detailed joints, glowing blue eyes, futuristic design elements, dynamic pose."""
TransistorRadio,,,,gemma3:12b,"""A portable transistor radio, dark brown cover, visible speaker grille, vintage brand logo on the front, retro design, slightly worn condition."""
Bulldozer,,,,gemma3:12b,"""A powerful yellow and black bulldozer, movable front blade raised, rugged terrain, industrial setting, detailed metal textures, dynamic angle."""
SailingShip,,,,gemma3:12b,"""A classic ship with copper and brown hues, intricate deck details, weathered wood texture, billowing sails, ocean background, dramatic lighting."""
CartoonRocket,,,,gemma3:12b,"""A stylized, cartoonish rocket, red dome top, black antenna, teal cylindrical middle with red bands and black connectors, whimsical design, bright colors."""
DeliveryVan,,,,gemma3:12b,"""A weathered vintage delivery van, boxy shape, faded green paint, rusty roof rack, square windows, nostalgic appeal, rural road background."""
VictorianMansion,,,,gemma3:12b,"""A grand Victorian mansion, built from stone bricks, ornate trim, bay windows, a wraparound porch, lush gardens, sophisticated elegance."""
Bookshelf,,,,gemma3:12b,"""A sturdy wooden bookshelf with intricately carved details, adjustable shelves, warm lighting, filled with vintage books, classic library atmosphere."""
RockingChair,,,,gemma3:12b,"""A classic wooden rocking chair, woven seat and back, comfortable design, warm lighting, cozy atmosphere, vintage charm."""
GreenMonitor,,,,gemma3:12b,"""A vintage green computer monitor, CRT display, retro design, slightly faded screen, warm lighting, nostalgic computing aesthetic."""
RotaryTelephone,,,,gemma3:27b-it-q8_0,"""A detailed, antique copper rotary telephone with a dark wood base, ornate dial, coiled cord, and a slightly tarnished finish."""
BrickHouse,,,,gemma3:27b-it-q8_0,"""A classic two-story brick house with a vibrant red tile roof, white trim, a green lawn, and a white picket fence surrounding the property."""
GlowingOrb,,,,gemma3:27b-it-q8_0,"""A vibrant, pulsating orb of blue energy resting on a weathered gray stone pedestal, emitting soft light and subtle particles."""
SphericalRobot,,,,gemma3:27b-it-q8_0,"""A polished, spherical robot with intricate gold and silver paneling, glowing blue optical sensors, and subtle surface detailing."""
BronzeOwl,,,,gemma3:27b-it-q8_0,"""A highly detailed bronze owl sculpture, realistically feathered, perched on a gnarled, dark wood branch with moss accents."""
RoboticArm,,,,gemma3:27b-it-q8_0,"""A sleek, silver robotic arm with glowing blue joints and articulated fingers resting on a metallic gray table."""
LogCabin,,,,gemma3:27b-it-q8_0,"""A cozy, rustic log cabin with a tall stone chimney, a weathered wooden porch, and a warm, inviting glow from the windows."""
BlockyRobot,,,,gemma3:27b-it-q8_0,"""A playful, blocky robot with a bright orange body, teal limbs, large, expressive eyes, and fully articulated joints."""
VintageCamera,,,,gemma3:27b-it-q8_0,"""A classic, vintage camera with a brown leather case, silver metal accents, a prominent lens, and detailed button controls."""
ToyBlaster,,,,gemma3:27b-it-q8_0,"""A sleek, futuristic red toy blaster with a transparent magazine, glowing energy accents, and a comfortable grip."""
DogRobot,,,,gemma3:27b-it-q8_0,"""A sleek, metallic dog-like robot with articulated legs, glowing blue eyes, and intricate futuristic paneling."""
TransistorRadio,,,,gemma3:27b-it-q8_0,"""A vintage portable transistor radio with a dark brown plastic cover, a woven speaker grille, and a faded brand logo."""
Bulldozer,,,,gemma3:27b-it-q8_0,"""A heavy-duty yellow bulldozer with black treads, a movable front blade, and a realistic, weathered appearance."""
SailingShip,,,,gemma3:27b-it-q8_0,"""A majestic sailing ship with copper and brown hues, intricately detailed deck features, and billowing white sails."""
CartoonRocket,,,,gemma3:27b-it-q8_0,"""A vibrant, cartoonish rocket with a red dome top, black antenna, teal cylindrical body, and red/black accents."""
DeliveryVan,,,,gemma3:27b-it-q8_0,"""A faded green vintage delivery van, boxy shape, rusted accents, square windows, and a rusty roof rack."""
VictorianMansion,,,,gemma3:27b-it-q8_0,"""A grand Victorian mansion made of stone bricks, ornate trim, bay windows, and a wraparound porch with detailed railings."""
Bookshelf,,,,gemma3:27b-it-q8_0,"""A classic wooden bookshelf with carved details, adjustable shelves, and a warm, polished finish."""
